Domain,Topic,document Section,Question_type,Question,Gold_text,Gold_spans,keywords,doc link
Finance,Banking System,Bank Definition,Definition,What does a bank do with deposits and loans?,accepts deposits from the public and creates a demand deposit while making loans,accepts deposits from the public; creates a demand deposit; making loans,"bank, deposits, loans",https://drive.google.com/file/d/13V8vT49C2qNqngL7nat5QVbtpWLoAAUc/view?usp=sharing
,,Bank Role,Conceptual,What role do banks play in the economy?,Banks play an important role in financial stability and the economy of a country,important role in financial stability; economy of a country,"economy, stability",
,,Regulation,Conceptual,What regulatory requirements are banks subject to?,regulations intended to ensure liquidity banks are generally subject to minimum capital requirements based on an international set of capital standards the Basel Accords,ensure liquidity; minimum capital requirements; Basel Accords,"regulation, capital",
,,Payment Function,Conceptual,How do banks handle customer payments?,conducting checking or current accounts for customers paying checks drawn by customers in the bank Wire transfers or telegraphic transfer,conducting checking accounts; paying checks drawn by customers; Wire transfers or telegraphic transfer,"payments, transfers",
,,Money Creation,Conceptual,How is money created in banking systems?,Banks issue new money when they make loans regulators set a minimum level of reserve funds meet demands for payment,issue new money when they make loans; minimum level of reserve funds; meet demands for payment,money creation,
,,Revenue Model,Conceptual,How do banks earn profit from lending?,most significant method is via charging interest on the capital it lends out to customers difference is referred to as the spread,charging interest on the capital it lends out; difference referred to as the spread,"interest, spread",
,,Bank Risk,Definition,What conditions define liquidity risk in banking?,liquidity risk where many depositors request withdrawals in excess of available funds,liquidity risk; withdrawals in excess of available funds,liquidity risk,
,,Bank Capital,Definition,What components form bank capital?,Bank capital consists principally of equity retained earnings and subordinated debt,equity; retained earnings; subordinated debt,"capital, equity",
,,Bank History,Fact-based,Where did modern banking evolve?,Banking in its modern sense evolved in the fourteenth century in the prosperous cities of Renaissance Italy,fourteenth century; Renaissance Italy; prosperous cities,"history, italy",
,,Bank Accounts,Definition,What types of bank accounts are mentioned?,There are different types of accounts saving recurring and current accounts,saving; recurring; current accounts,accounts,
